smiles,IC50_nM
"COc1ccccc1-c1c(cnc2cc(ccc12)S(=O)(=O)Nc1nccs1)C#N |(-1.33,2.31,;,1.54,;1.33,2.31,;1.33,3.85,;2.67,4.62,;4,3.85,;4,2.31,;2.67,1.54,;2.67,,;4,-.77,;4,-2.31,;2.67,-3.08,;1.33,-2.31,;,-3.08,;-1.33,-2.31,;-1.33,-.77,;;1.33,-.77,;-2.67,-3.08,;-1.9,-4.41,;-3.44,-1.75,;-4,-3.85,;-5.33,-3.08,;-6.74,-3.71,;-7.77,-2.56,;-7,-1.23,;-5.5,-1.55,;5.33,,;6.67,.77,)|",30000.0
COc1cc(ccc1-c1ncnc2cc(ccc12)S(=O)(=O)Nc1ccncn1)-c1cccc(F)c1,30000.0
COc1cc(ccc1-c1ncnc2cc(ccc12)S(=O)(=O)Nc1ccncn1)-c1cccc(F)c1,30000.0
COc1cc(ccc1-c1cccc2cc(ccc12)S(=O)(=O)Nc1ncns1)C#N,30000.0
COc1ccccc1-c1ccnc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
COc1ccc(cc1-c1ccnc2cc(ccc12)S(=O)(=O)Nc1ccncn1)-c1cccc(F)c1,30000.0
Cc1cc(Cl)ccc1-c1ccnc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
COc1cc(Cl)c(cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1nncs1)C#N,30000.0
COc1cc(-c2cc(F)cc(F)c2)c(cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1nncs1)C#N,30000.0
COc1cc(-c2cccc(c2)C(F)(F)F)c(cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1nncs1)C#N,30000.0
COc1cc(-c2cccc(F)c2)c(cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ncns1)C#N,30000.0
COc1cc(c(Cl)cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ccon1)-c1cccc(F)c1,30000.0
COc1cc(Cl)c(cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ncns1)C#N,30000.0
COc1ccc(cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1nncs1)-c1cccc(F)c1,30000.0
COc1ccc(Cl)cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ncns1,30000.0
COc1ccc(cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ncns1)-c1cccc(F)c1,30000.0
COc1ccc(cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ccncn1)-c1cccc(F)c1,30000.0
COc1cc(-c2cccc(F)c2)c(cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1nncs1)C#N,30000.0
COc1cc(-c2cccc(F)c2)c(cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ccon1)C#N,30000.0
COc1cc(-c2cc(F)cc(F)c2)c(cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ccon1)C#N,30000.0
COc1ccc(cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1nncs1)-c1cccc(c1)C(F)(F)F,30000.0
COc1cc(ccc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1nncs1)-c1cc(F)cc(F)c1,30000.0
Cc1cc(ccc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ccncn1)-c1cccc(F)c1,30000.0
COc1cc(CC(C)(C)C)ccc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ccncn1,30000.0
COc1cc(OCC(C)C)ccc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ccncn1,30000.0
COc1ccc(cc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ccncn1)-c1cccc(c1)C(F)(F)F,30000.0
COc1cc(ccc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1ccncn1)-c1ccc(F)cc1,30000.0
COc1cc(ccc1-c1nccc2cc(ccc12)S(=O)(=O)Nc1nncs1)-c1cccc(F)c1,30000.0
