smiles,IC50_nM
CC(C)(C)NC(=O)Cn1c(CC2CCNCC2)nc2cc(Cl)c(Cl)cc12,10000.0
CC(C)(C)NC(=O)Cn1c(CC2CCNCC2)nc2cc(Cl)c(Cl)cc12,10000.0
Clc1cc2nc(CCN3CCNCC3=O)[nH]c2cc1Cl,10000.0
Clc1cc2nc(CCN3CCNCC3=O)[nH]c2cc1Cl,10000.0
FC(F)(F)c1ccc(NC(=O)CC2CCNCC2)nn1,10000.0
FC(F)(F)c1ccc(NC(=O)CC2CCNCC2)nn1,10000.0
Cn1nc(cc1NC(=O)CN1CCNCC1=O)C(F)(F)F,10000.0
Cn1nc(cc1NC(=O)CN1CCNCC1=O)C(F)(F)F,10000.0
Cc1nc(ccc1NC(=O)CN1CCNCC1=O)C(F)(F)F,10000.0
Cc1nc(ccc1NC(=O)CN1CCNCC1=O)C(F)(F)F,10000.0
FC(F)(F)c1ccc(NC(=O)CN2CCNCC2=O)nc1,10000.0
FC(F)(F)c1ccc(NC(=O)CN2CCNCC2=O)nc1,10000.0
FC(F)(F)c1ccnc(NC(=O)CN2CCNCC2=O)c1,10000.0
FC(F)(F)c1ccnc(NC(=O)CN2CCNCC2=O)c1,10000.0
C[C@H](NC(=O)c1cc(nn1C)C(F)(F)F)c1nc(no1)-c1ccnc(c1)C(F)(F)F,10700.0
COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC\C=C\c1ccccc1,12700.0
COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC\C=C\c1ccccc1,5300.0
C[C@]1(CN2Cc3nc(sc3C2)-c2ccc(F)cc2)CN=C(N)O1,13300.0
C[C@]1(CN2Cc3nc(sc3C2)-c2ccc(F)cc2)Cn2cc(nc2O1)[N+]([O-])=O,13300.0
COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)O[C@@H]1CCCN(Cc2ccccc2)C1,13800.0
COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)O[C@@H]1CCCN(Cc2ccccc2)C1,4900.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc(OCCCCCN2CCCC2)cc1)C(=O)OCC,15000.0
CCOc1cc(ccc1-c1nc(n2ccnc(N)c12)C12CCC(CC1)(CC2)C(O)=O)C(=O)Nc1cc(ccn1)C(F)(F)F,15000.0
CCOc1cc(CN2CCC3(CN(C(=O)C3)c3ccc(cc3)C(O)=O)CC2)cc(OCC)c1-c1ccc(F)cc1,15000.0
CCCc1nc(C)c2n1[nH]c(nc2=O)-c1cc(ccc1OCC)S(=O)(=O)N1CCN(CC)CC1,15849.0
CCCc1nc(C)c2n1[nH]c(nc2=O)-c1cc(ccc1OCC)S(=O)(=O)N1CCN(CC)CC1,251189.0
OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,15849.0
COc1cc(F)c(cc1-c1ccc(F)cc1[C@@H]1CC[C@H]2[C@H](OC(=O)N12)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)-c1ccc(cc1C)C(O)=O,16000.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc(OCCCN2CCCC2)c(OCC)c1)C(=O)OCC,16000.0
CCOC(=O)N1CC\C(C1)=C/C#Cc1cccc(C)n1,16230.0
CCOC(=O)N1CC\C(C1)=C/C#Cc1cccc(C)n1,16230.0
COc1cc(F)c(cc1-c1ccc(cc1[C@@H]1CC[C@H]2[C@H](OC(=O)N12)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(F)(F)F)-c1ccc(cc1C)C(O)=O,17000.0
COc1ccc(cc1-c1cnc(cc1[C@@H]1CC[C@H]2[C@H](OC(=O)N12)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)N(C)C)-c1ccc(cc1C)C(O)=O,17000.0
CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2CCn3c(cc4c(F)cccc34)-c2n1)-c1ccc(F)cc1,18000.0
CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2ccn3c(cc4c(F)cccc34)c2n1)-c1ccc(F)cc1,18000.0
C[C@@]1(CC[C@](C)(C1)c1nc(-c2ccc(cc2)C(=O)Nc2cc(ccn2)C(F)(F)F)c2c(N)nccn12)C(O)=O,19000.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc(OCCCCCN2CCCCC2)cc1)C(=O)OCC,21000.0
OC1=NC(=O)C(N1)(c1ccccc1)c1ccccc1,21900.0
OC1=NC(=O)C(N1)(c1ccccc1)c1ccccc1,125000.0
Cn1cc(cn1)-c1cc(nc2cc(CN3CCO[C@H](C3)C(F)(F)F)ccc12)C(N)=O,22000.0
CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2ncn3c(cc4c(F)cccc34)c2n1)-c1ccc(F)cc1,22000.0
OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,22500.0
CCNC(=N)NC(=O)Nc1c(CC)cc(cc1CC)C(=O)NCc1ccccc1,22500.0
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,23500.0
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,24000.0
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,47000.0
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,50000.0
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,150.0
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,200.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc(OCCCN2CCCCC2)c(OCC)c1)C(=O)OCC,24000.0
COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1,24100.0
COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1,250.0
COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1,9600.0
CSc1c(C#N)c(=O)c2ccc(F)cc2n1-c1c(Cl)cccc1Cl,24200.0
Cn1cc(Nc2nccc(n2)-c2ccc3[C@@H](CCN(Cc3c2)C2COC2)NC(=O)c2cn(nn2)C(C)(C)C)cn1,25000.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc(OCCCCN2CCCC2)cc1)C(=O)OCC,25000.0
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,25119.0
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,100000.0
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,2800.0
CCOC(=O)C1=C(C)NC(C)=C(C1c1ccc(OCCN2CCCCC2)c(OC)c1)C(=O)OCC,26000.0
C[C@H]1C[C@H](CCO1)N1C(=O)C[C@](C)(NC1=N)c1cccc(Nc2ccc(nc2)C2CC2)c1Cl,27000.0
CCNC1=N[C@H]2[C@H](O[C@H](C)[C@@H](O)[C@@H]2O)S1,30000.0
CCNC1=N[C@H]2[C@H](O[C@H](CF)[C@@H](O)[C@@H]2O)S1,30000.0
CCNC1=N[C@H]2[C@H](O[C@H](CO)[C@@H](O)[C@@H]2OC)S1,30000.0
